1,GABRIEL,2,4
2,RIEN NE S'OPPOSE A LA NUIT,3,3
3,LE ROI LEAR,1,5
4,LA VIE DE GALILEE,1,3
5,JEAN-BAPTISTE MADELEINE ARMANDE ET LES AUTRES,1,3
6,LA CERISAIE,1,3
7,LA REINE DES NEIGES L'HISTOIRE OUBLIEE,2,3
8,LES SERGE (GAINSBOURG POINT BARRE),3,3
9,LA PUCE A L'OREILLE,1,3
10,LA MORT DE DANTON,1,3
11,LA DAME DE LA MER,2,3
12,LA BALLADE DE SOUCHON,3,3
13,LE TARTUFFE OU L'HYPOCRITE,1,5
14,LE COTE DE GUERMANTES,1,4
15,ANGELS IN AMERICA,1,4
16,LE CHIEN - LES CONTES DU CHAT PERCHE,3,3
17,THEOREME / JE ME SENS UN COEUR A AIMER,2,2
18,MEDEE,1,5
19,LA PENSEE LA POESIE ET LE POLITIQUE,3,4
20,MOLIERE - MATERIAU(X),3,3
21,L'AVARE,1,5
22,LA MESSE LA-BAS,3,5
23,MEMOIRE DE FILLE,2,4
24,36 CHANDELLES DANS LA MAISON DE MOLIERE,3,2
25,LE PETIT MAITRE CORRIGE,1,2
